n,k_true,epsilon,scheme,delta_used,eta,seed,ari,count_max_pred,count_max_true,count_mae_max,count_total_pred,count_total_true,count_mae_total,n_clusters_found,elapsed_sec
50,4,10,fixed-1,1,-0.14285714285714285,0,0.0,50,16,34,50,48,2,1,0.0005
50,4,10,fixed-2,2,0.0,0,0.0,50,16,34,50,48,2,1,0.0003
50,4,10,fixed-3,3,0.14285714285714285,0,0.5186590863122039,33,16,17,50,48,2,2,0.0003
50,4,10,fixed-5,5,0.42857142857142855,0,0.5813903703496869,32,16,16,50,48,2,4,0.0003
50,4,10,fixed-7,7,0.7142857142857143,0,0.5524681408892614,32,16,16,50,48,2,5,0.0003
50,4,10,adaptive-a0.30,4,0.2857142857142857,0,0.5813903703496869,32,16,16,50,48,2,4,0.0003
50,4,10,adaptive-a0.40,4,0.2857142857142857,0,0.5813903703496869,32,16,16,50,48,2,4,0.0003
50,4,10,adaptive-a0.50,5,0.42857142857142855,0,0.5813903703496869,32,16,16,50,48,2,4,0.0003
50,4,10,fixed-1,1,-0.14285714285714285,1,0.0,50,16,34,50,48,2,1,0.0003
50,4,10,fixed-2,2,0.0,1,0.0,50,16,34,50,48,2,1,0.0003
50,4,10,fixed-3,3,0.14285714285714285,1,0.0,50,16,34,50,48,2,1,0.0002
50,4,10,fixed-5,5,0.42857142857142855,1,0.936776764503027,17,16,1,50,48,2,3,0.0003
50,4,10,fixed-7,7,0.7142857142857143,1,0.9086363385789749,17,16,1,50,48,2,6,0.0003
50,4,10,adaptive-a0.30,4,0.2857142857142857,1,0.0,50,16,34,50,48,2,1,0.0003
50,4,10,adaptive-a0.40,4,0.2857142857142857,1,0.0,50,16,34,50,48,2,1,0.0003
50,4,10,adaptive-a0.50,5,0.42857142857142855,1,0.936776764503027,17,16,1,50,48,2,3,0.0003
50,4,10,fixed-1,1,-0.14285714285714285,2,0.0,50,16,34,50,48,2,1,0.0003
50,4,10,fixed-2,2,0.0,2,0.0,50,16,34,50,48,2,1,0.0003
50,4,10,fixed-3,3,0.14285714285714285,2,0.0,50,16,34,50,48,2,1,0.0003
50,4,10,fixed-5,5,0.42857142857142855,2,0.5813903703496869,32,16,16,50,48,2,4,0.0002
50,4,10,fixed-7,7,0.7142857142857143,2,0.8805147367960796,16,16,0,50,48,2,9,0.0004
50,4,10,adaptive-a0.30,4,0.2857142857142857,2,0.539131363020377,33,16,17,50,48,2,3,0.0003
50,4,10,adaptive-a0.40,4,0.2857142857142857,2,0.539131363020377,33,16,17,50,48,2,3,0.0003
50,4,10,adaptive-a0.50,5,0.42857142857142855,2,0.5813903703496869,32,16,16,50,48,2,4,0.0003
50,4,10,fixed-1,1,-0.14285714285714285,3,0.0,50,16,34,50,48,2,1,0.0003
50,4,10,fixed-2,2,0.0,3,0.0,50,16,34,50,48,2,1,0.0005
50,4,10,fixed-3,3,0.14285714285714285,3,0.5004893165878324,34,16,18,50,48,2,2,0.0005
50,4,10,fixed-5,5,0.42857142857142855,3,0.9371601518415923,17,16,1,50,48,2,5,0.0004
50,4,10,fixed-7,7,0.7142857142857143,3,0.9396272165436211,16,16,0,50,48,2,7,0.0004
50,4,10,adaptive-a0.30,4,0.2857142857142857,3,0.539131363020377,33,16,17,50,48,2,3,0.0003
50,4,10,adaptive-a0.40,4,0.2857142857142857,3,0.539131363020377,33,16,17,50,48,2,3,0.0003
50,4,10,adaptive-a0.50,5,0.42857142857142855,3,0.9371601518415923,17,16,1,50,48,2,5,0.0002
50,4,10,fixed-1,1,-0.14285714285714285,4,0.0,50,16,34,50,48,2,1,0.0003
50,4,10,fixed-2,2,0.0,4,0.0,50,16,34,50,48,2,1,0.0005
50,4,10,fixed-3,3,0.14285714285714285,4,0.5410266017234919,32,16,16,50,48,2,2,0.0005
50,4,10,fixed-5,5,0.42857142857142855,4,0.574190745166196,31,16,15,50,48,2,5,0.0005
50,4,10,fixed-7,7,0.7142857142857143,4,0.7035437887312426,19,16,3,50,48,2,11,0.0005
50,4,10,adaptive-a0.30,4,0.2857142857142857,4,0.5600371519797506,32,16,16,50,48,2,3,0.0003
50,4,10,adaptive-a0.40,4,0.2857142857142857,4,0.5600371519797506,32,16,16,50,48,2,3,0.0003
50,4,10,adaptive-a0.50,5,0.42857142857142855,4,0.574190745166196,31,16,15,50,48,2,5,0.0002
100,4,10,fixed-1,1,0.0,0,0.0,100,32,68,100,95,5,1,0.001
100,4,10,fixed-2,2,0.125,0,0.5130552571348498,66,32,34,100,95,5,2,0.0007
100,4,10,fixed-3,3,0.25,0,0.9509310540165509,33,32,1,100,95,5,5,0.0007
100,4,10,fixed-5,5,0.5,0,0.9508061305557942,33,32,1,100,95,5,7,0.0006
100,4,10,fixed-7,7,0.75,0,0.9076449739185073,32,32,0,100,95,5,12,0.0006
100,4,10,adaptive-a0.30,3,0.25,0,0.9509310540165509,33,32,1,100,95,5,5,0.0006
100,4,10,adaptive-a0.40,4,0.375,0,0.9509310540165509,33,32,1,100,95,5,5,0.0007
100,4,10,adaptive-a0.50,5,0.5,0,0.9508061305557942,33,32,1,100,95,5,7,0.0006
100,4,10,fixed-1,1,0.0,1,0.0,100,32,68,100,95,5,1,0.0007
100,4,10,fixed-2,2,0.125,1,0.0,100,32,68,100,95,5,1,0.0006
100,4,10,fixed-3,3,0.25,1,0.0,100,32,68,100,95,5,1,0.0006
100,4,10,fixed-5,5,0.5,1,0.5181783555756778,66,32,34,100,95,5,5,0.0006
100,4,10,fixed-7,7,0.75,1,0.7833512556138909,28,32,4,100,95,5,22,0.0006
100,4,10,adaptive-a0.30,3,0.25,1,0.0,100,32,68,100,95,5,1,0.0007
100,4,10,adaptive-a0.40,4,0.375,1,0.0,100,32,68,100,95,5,1,0.0006
100,4,10,adaptive-a0.50,5,0.5,1,0.5181783555756778,66,32,34,100,95,5,5,0.0006
100,4,10,fixed-1,1,0.0,2,0.0,100,32,68,100,95,5,1,0.0009
100,4,10,fixed-2,2,0.125,2,0.030201087670890383,98,32,66,100,95,5,3,0.0006
